"jdn"	"nisanu_year"	"king"	"regnal_year"	"month"	"pd_cycle"	"confidence"	"evidence"
1493580	-624	"Nabopolassar"	1	"Addaru II"	"7/IX"	2	"P&D p. 7: a is probable, u possible, year very probable; dates 9/18/625 to 3/14/624 might be a month later"
1494495	-621	"Nabopolassar"	4	"Ululu II"	"7/XII"	3	"P&D p. 7: u and year are very probable"
1495588	-618	"Nabopolassar"	7	"Ululu II"	"7/XV"	5	"attested: Dougherty GCCI II 74"
1496681	-615	"Nabopolassar"	10	"Ululu II"	"7/XVIII"	5	"attested: Dougherty GCCI II 50"
1497419	-613	"Nabopolassar"	12	"Ululu II"	"8/I"	2	"P&D p. 7: u is probable, a possible, year very probable; dates 10/16/614 to 4/11/613 might be a month earlier"
1498511	-610	"Nabopolassar"	15	"Ululu II"	"8/IV"	5	"attested: Contenau TCL XII 199"
1499250	-608	"Nabopolassar"	17	"Ululu II"	"8/VI"	2	"P&D p. 7: u is probable, a in this or the preceding year possible; dates 3/28/609 to 9/21/609 might be a month later, 10/20/609 to 4/16/608 a month earlier"
1500519	-605	"Nabopolassar"	20	"Addaru II"	"8/IX"	5	"attested: Dougherty GCCI II 16; Contenau TCL XII 21"
1501435	-602	"Nebuchadnezzar II"	2	"Ululu II"	"8/XII"	5	"attested (P&D pl. I)"
1502350	-600	"Nebuchadnezzar II"	4	"Addaru II"	"8/XIV"	5	"attested: VAS VI 265"
1503266	-597	"Nebuchadnezzar II"	7	"Ululu II"	"8/XVII"	5	"attested: Lutz UCP IX/1 ii 10"
1504004	-595	"Nebuchadnezzar II"	9	"Ululu II"	"8/XIX"	5	"attested: Kruckmann NBRVT 197"
1505097	-592	"Nebuchadnezzar II"	12	"Ululu II"	"9/III"	3	"P&D p. 7: u and year are very probable"
1506012	-590	"Nebuchadnezzar II"	14	"Addaru II"	"9/V"	3	"P&D p. 7: a and year are very probable"
1507105	-587	"Nebuchadnezzar II"	17	"Addaru II"	"9/VIII"	5	"attested (P&D pl. I)"
1508374	-583	"Nebuchadnezzar II"	21	"Ululu II"	"9/XII"	3	"P&D p. 7: u and year are very probable"
1509291	-581	"Nebuchadnezzar II"	23	"Addaru II"	"9/XIV"	5	"attested: Keiser LCE 126; Dougherty GCCI I 45"
1510382	-578	"Nebuchadnezzar II"	26	"Addaru II"	"9/XVII"	5	"attested (P&D pl. I)"
1511121	-576	"Nebuchadnezzar II"	28	"Addaru II"	"9/XIX"	5	"attested: Lutz UCP IX/1 i 52"
1512036	-573	"Nebuchadnezzar II"	31	"Ululu II"	"10/III"	5	"attested: Kruckmann NBRVT 20; Bodleian A 91, A 95"
1512952	-571	"Nebuchadnezzar II"	33	"Addaru II"	"10/V"	5	"attested: Dougherty GCCI I 117, 125"
1514044	-568	"Nebuchadnezzar II"	36	"Addaru II"	"10/VIII"	5	"attested: Dougherty GCCI I 68, 98, 82(?); GCCI II 268"
1515669	-563	"Nebuchadnezzar II"	41	"Ululu II"	"10/XIII"	5	"attested: Kruckmann NBRVT 79, 153, 154; Dougherty GCCI I 231, 248"
1516230	-562	"Nebuchadnezzar II"	42	"Addaru II"	"10/XIV"	5	"attested: Dougherty GCCI I 138, 155, 219, 225"
1517322	-559	"Amel-Marduk"	2	"Addaru II"	"10/XVII"	5	"attested (P&D pl. I)"
1518415	-556	"Nergal-Shar-Usur"	3	"Addaru II"	"11/I"	5	"attested (P&D pl. I)"
1519153	-554	"Nabunaid"	1	"Addaru II"	"11/III"	5	"attested (P&D pl. I)"
1519891	-552	"Nabunaid"	3	"Addaru II"	"11/V"	5	"attested: Pohl NBRU II 8; Dougherty REN 13, 46"
1520985	-549	"Nabunaid"	6	"Addaru II"	"11/VIII"	5	"attested: Kruckmann NBRVT 115"
1522254	-545	"Nabunaid"	10	"Ululu II"	"11/XII"	5	"attested: Dougherty GCCI I 291, 305, 338, 354; REN 19, 139, 212"
1523169	-543	"Nabunaid"	12	"Addaru II"	"11/XIV"	5	"attested: Moore NBD 55; Kruckmann NBRVT 209; Dougherty REN (11 texts); GCCI II 371"
1524262	-540	"Nabunaid"	15	"Addaru II"	"11/XVII"	5	"attested: Dougherty REN 224"
1525532	-536	"Cyrus"	2	"Ululu II"	"12/II"	5	"attested (P&D pl. I)"
1526093	-535	"Cyrus"	3	"Addaru II"	"12/III"	5	"attested (P&D pl. I)"
1527186	-532	"Cyrus"	6	"Addaru II"	"12/VI"	5	"attested: Tremayne RECC 47"
1528101	-529	"Cyrus"	9	"Ululu II"	"12/IX"	5	"attested (P&D pl. I)"
1529194	-526	"Cambyses"	3	"Ululu II"	"12/XII"	5	"attested: Tremayne RECC 155; Kruckmann NBRVT 161; Contenau TCL XIII 155"
1530109	-524	"Cambyses"	5	"Addaru II"	"12/XIV"	5	"attested: Pohl NBRU I 77"
1531202	-521	"Cambyses"	8	"Addaru II"	"12/XVII"	5	"attested (P&D pl. I)"
1532118	-518	"Darius I"	3	"Ululu II"	"13/I"	5	"attested: Kruckmann NBRVT 165"
1533033	-516	"Darius I"	5	"Addaru II"	"13/III"	5	"attested (P&D pl. I)"
1534126	-513	"Darius I"	8	"Addaru II"	"13/VI"	5	"attested (P&D pl. I)"
1535041	-510	"Darius I"	11	"Ululu II"	"13/IX"	5	"attested (P&D pl. I)"
1535956	-508	"Darius I"	13	"Addaru II"	"13/XI"	5	"attested (P&D pl. I)"
1537049	-505	"Darius I"	16	"Addaru II"	"13/XIV"	5	"attested: Contenau TCL XIII 193; Persepolis 4303"
1537965	-502	"Darius I"	19	"Ululu II"	"13/XVII"	5	"attested: Persepolis 3158, 718"
1539234	-499	"Darius I"	22	"Addaru II"	"14/I"	5	"attested: Persepolis 11424; 1899, 5968, 9916 (doubtful)"
1539972	-497	"Darius I"	24	"Addaru II"	"14/III"	5	"attested: Persepolis 5257, 9637, 10134"
1541065	-494	"Darius I"	27	"Addaru II"	"14/VI"	5	"attested (P&D pl. I)"
1541803	-492	"Darius I"	29	"Addaru II"	"14/VIII"	2	"P&D p. 7: a is probable, u in the following year possible; dates 4/23/492 to 10/17/492 might be a month earlier"
1542896	-489	"Darius I"	32	"Addaru II"	"14/XI"	5	"attested: Teheran PT 4 639"
1543989	-486	"Darius I"	35	"Addaru II"	"14/XIV"	5	"attested (P&D pl. I)"
1544904	-483	"Xerxes"	2	"Ululu II"	"14/XVII"	5	"attested: Teheran PT 4 158, PT 4 745"
1546174	-480	"Xerxes"	5	"Addaru II"	"15/I"	5	"attested: Teheran PT 4 996"
1546912	-478	"Xerxes"	7	"Addaru II"	"15/III"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1548005	-475	"Xerxes"	10	"Addaru II"	"15/VI"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1548743	-473	"Xerxes"	12	"Addaru II"	"15/VIII"	5	"attested: Oriental Institute A 23304"
1549836	-470	"Xerxes"	15	"Addaru II"	"15/XI"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1550928	-467	"Xerxes"	18	"Addaru II"	"15/XIV"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1551844	-464	"Xerxes"	21	"Ululu II"	"15/XVII"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1552760	-462	"Artaxerxes I"	2	"Addaru II"	"15/XIX"	3	"P&D p. 7: a is certain but could be in the following year; dates 4/22/462 to 4/11/461 might be a month earlier"
1553852	-459	"Artaxerxes I"	5	"Addaru II"	"16/III"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1554944	-456	"Artaxerxes I"	8	"Addaru II"	"16/VI"	4	"unattested; P&D p. 7: may be regarded as highly probable"
1555683	-454	"Artaxerxes I"	10	"Addaru II"	"16/VIII"	5	"attested (P&D pl. I)"
